Номер,Иврит с огласовками,Русский перевод,Категория,Имя аудиофайла,Рекомендуемый голос
167,"הַגֶּשֶׁם מַפְסִיק לָרֶדֶת בַּחוּץ עַכְשָׁיו.","Дождь на улице сейчас прекращается.","Глаголы","s_3e19c803660d.mp3","Мужской"
168,"הִפְסַקְתִּי לַעֲבוֹד מְאוּחָר בַּלַּיְלָה.","Я перестал работать поздно ночью.","Глаголы","s_d09c084199e1.mp3","Мужской"
169,"הַמֶּלְצַר מַמְלִיץ עַל הַדָּג הַטָּרִי.","Официант рекомендует свежую рыбу.","Глаголы","s_de451de9cf40.mp3","Мужской"
170,"הִמְלַצְתִּי עַל הַמָּלוֹן הַזֶּה לַחֲבֵרִים.","Я порекомендовал этот отель друзьям.","Глаголы","s_2d0daf0b9dd6.mp3","Мужской"
171,"הַתַּלְמִיד מַצְלִיחַ בַּלִּמּוּדִים בָּאוּלְפָּן יָפֶה.","Ученик отлично успевает в учёбе в ульпане.","Глаголы","s_776bc8099587.mp3","Мужской"
172,"הִצְלַחְתִּי בַּמִּבְחָן הַקָּשֶׁה בְּעִבְרִית.","Я успешно справился с трудным тестом по ивриту.","Глаголы","s_51873e418b56.mp3","Мужской"
173,"אֲנִי מַעֲדִיף תֵּה עַל קָפֶה.","Я предпочитаю чай кофе.","Глаголы","s_7af48f922782.mp3","Мужской"
174,"הֶעֱדַפְתִּי לְהִשָּׁאֵר בַּבַּיִת בַּגֶּשֶׁם.","В дождь я предпочёл остаться дома.","Глаголы","s_6720576f3784.mp3","Мужской"
175,"אֲנִי מַסְכִּים עִם כָּל מִלָּה.","Я согласен с каждым словом.","Глаголы","s_9caef0e37c6e.mp3","Мужской"
176,"הִסְכַּמְנוּ עַל הַמְּחִיר מִיָּד שָׁם.","Мы сразу договорились о цене там.","Глаголы","s_6b049e08cbca.mp3","Мужской"
177,"דָּוִד מִתְרַחֵץ בַּמַּיִם חַמִּים בַּבֹּקֶר.","Давид моется тёплой водой утром.","Глаголы","s_4bb2599119f6.mp3","Мужской"
178,"הִתְרַחַצְתִּי בַּיָּם עִם כָּל הַחֲבֵרִים.","Я купался в море со всеми друзьями.","Глаголы","s_c473163a70b1.mp3","Мужской"
179,"הַיֶּלֶד מִתְלַבֵּשׁ לְבַד יָפֶה מְאֹד.","Ребёнок очень хорошо одевается сам.","Глаголы","s_924c149a3046.mp3","Мужской"
180,"הִתְלַבַּשְׁתִּי מַהֵר בַּבֹּקֶר לָעֲבוֹדָה.","Утром я быстро оделся на работу.","Глаголы","s_528649f6f92e.mp3","Мужской"
181,"אֲנִי מִתְרַגֵּשׁ מֵהַפְּגִישָׁה הַחֲדָשָׁה הַיּוֹם.","Я волнуюсь из-за новой встречи сегодня.","Глаголы","s_63c9d63f5dd0.mp3","Мужской"
182,"מְאֹד הִתְרַגַּשְׁתִּי בַּחֲתוּנָּה שֶׁל אָחִי.","Я очень растрогался на свадьбе брата.","Глаголы","s_ab66af768a3a.mp3","Мужской"
183,"אֲנִי מִשְׁתַּמֵּשׁ בַּמַּחְשֵׁב בָּעֲבוֹדָה תָּמִיד.","Я всегда пользуюсь компьютером на работе.","Глаголы","s_49d9dd7f7512.mp3","Мужской"
184,"הִשְׁתַּמַּשְׁתִּי בַּמִּלּוֹן בַּשִּׁעוּר אֶתְמוֹל.","Вчера на уроке я пользовался словарём.","Глаголы","s_06e4a3659830.mp3","Мужской"
185,"הֵם מִתְחַתְּנִים בַּקַּיִץ הַקָּרוֹב בְּיִשְׂרָאֵל.","Они женятся ближайшим летом в Израиле.","Глаголы","s_e993fbd5c5a0.mp3","Мужской"
186,"דָּוִד הִתְחַתֵּן עִם שָׂרָה.","Давид женился на Саре.","Глаголы","s_adff542c8478.mp3","Мужской"
187,"הָאִישׁ מִתְפַּלֵּל בְּבֵית-הַכְּנֶסֶת בַּבֹּקֶר.","Мужчина молится в синагоге утром.","Глаголы","s_5d97ec69651d.mp3","Мужской"
188,"הִתְפַּלַּלְנוּ שָׁם בְּיוֹם כִּפּוּר בְּיַחַד.","Мы молились там в Судный день вместе.","Глаголы","s_e2f68e5c7c7f.mp3","Мужской"
189,"אֲנִי מִצְטַעֵר עַל הַטָּעוּת הַזֹּאת.","Я сожалею об этой ошибке.","Глаголы","s_d90a52c46128.mp3","Мужской"
190,"מְאֹד הִצְטַעַרְתִּי עַל מָה שֶׁקָּרָה.","Я очень сожалел о том, что произошло.","Глаголы","s_34be2c25236f.mp3","Мужской"
191,"אֲנִי מִתְקַשֵּׁר לְאִמָּא בָּעֶרֶב.","Я звоню маме вечером.","Глаголы","s_d9c35f2bbba9.mp3","Мужской"
192,"אֶתְמוֹל הִתְקַשַּׁרְתִּי לָרוֹפֵא בַּבֹּקֶר.","Вчера утром я позвонил врачу.","Глаголы","s_34099899ef3d.mp3","Мужской"
193,"אֲנַחְנוּ מִתְרָאִים שׁוּב בָּעֶרֶב בַּקָּפֶה.","Мы снова видимся вечером в кафе.","Глаголы","s_5ce6d716d61e.mp3","Мужской"
194,"הִתְרָאֵינוּ בַּקָּפֶה בַּשָּׁבוּעַ שֶׁעָבַר.","Мы виделись в кафе на прошлой неделе.","Глаголы","s_3a975ff92197.mp3","Мужской"
195,"הִיא מִסְתַּכֶּלֶת עַל הַתְּמוּנָה הַיָּפָה.","Она смотрит на красивую картину.","Глаголы","s_d62f7db2bcdf.mp3","Женский"
196,"הִסְתַּכַּלְתִּי בַּחַלּוֹן שָׁעָה אֲרוּכָּה הַיּוֹם.","Я долго смотрел сегодня в окно.","Глаголы","s_b85b273acae0.mp3","Мужской"
197,"הַתַּלְמִיד מִתְקַדֵּם יָפֶה בָּאוּלְפָּן הַשָּׁנָה.","Ученик хорошо продвигается в ульпане в этом году.","Глаголы","s_d720e55d7aaa.mp3","Мужской"
198,"הִתְקַדַּמְתִּי הַרְבֵּה בַּחֹדֶשׁ הָאַחֲרוֹן בָּעֲבוֹדָה.","Я сильно продвинулся за последний месяц на работе.","Глаголы","s_3aab77ac9efd.mp3","Мужской"
199,"אֲנִי מִתְרַגֵּל לַמֶּזֶג הָאֲוִיר בָּאָרֶץ.","Я привыкаю к погоде в Израиле.","Глаголы","s_62b0d6f8bf88.mp3","Мужской"
200,"הִתְרַגַּלְתִּי מַהֵר לַחַיִּים בְּיִשְׂרָאֵל.","Я быстро привык к жизни в Израиле.","Глаголы","s_d3537296714c.mp3","Мужской"
201,"הַתַּלְמִיד נִכְנָס לַכִּתָּה בְּשֶׁקֶט.","Ученик тихо входит в класс.","Глаголы","s_4ec95d89fc20.mp3","Мужской"
202,"אֶתְמוֹל נִכְנַסְתִּי לַמִּשְׂרָד מוּקְדָּם בַּבֹּקֶר.","Вчера я рано утром зашёл в офис.","Глаголы","s_c12650002d81.mp3","Мужской"
203,"אֲנִי נִשְׁאָר בַּבַּיִת הַיּוֹם בָּעֶרֶב.","Я остаюсь дома сегодня вечером.","Глаголы","s_e3d9d081bfa7.mp3","Мужской"
204,"אֶתְמוֹל נִשְׁאַרְתִּי בָּעֲבוֹדָה עַד מְאוּחָר.","Вчера я задержался на работе допоздна.","Глаголы","s_56fa991842a2.mp3","Мужской"
205,"אֲנַחְנוּ נִפְגָּשִׁים בַּקָּפֶה בָּעֶרֶב בְּיַחַד.","Мы встречаемся вечером в кафе вместе.","Глаголы","s_06f9e3ce374b.mp3","Мужской"
206,"אֶתְמוֹל נִפְגַּשְׁתִּי עִם הַמְּנַהֵל לְשִׂיחָה.","Вчера я встретился с директором для беседы.","Глаголы","s_c2f282e1fbd6.mp3","Мужской"
207,"הַחֲנוּת נִסְגֶּרֶת בְּשָׁעָה שְׁמוֹנֶה בָּעֶרֶב.","Магазин закрывается в восемь вечера.","Глаголы","s_4112c097e57a.mp3","Мужской"
208,"הַדֶּלֶת נִסְגְּרָה לְפֶתַע פִּתְאוֹם בָּרוּחַ.","Дверь внезапно захлопнулась от ветра.","Глаголы","s_7d4505c2b021.mp3","Мужской"
209,"הַסִּפְרִיָּה נִפְתַּחַת בַּבֹּקֶר בְּשָׁעָה שְׁמוֹנֶה.","Библиотека открывается утром в восемь часов.","Глаголы","s_ccbcae6734aa.mp3","Мужской"
210,"הַקּוּרְס הֶחָדָשׁ נִפְתַּח אֶתְמוֹל בָּאוּלְפָּן.","Вчера в ульпане открылся новый курс.","Глаголы","s_b6ba54edab5d.mp3","Мужской"
211,"הוּא נִזְהָר מְאֹד בַּכְּבִישׁ הַסּוֹאֵן.","Он очень осторожен на оживлённой дороге.","Глаголы","s_61b76af1a310.mp3","Мужской"
212,"נִזְהַרְתִּי מְאֹד בַּדֶּרֶךְ הַחֲלָקָה בַּגֶּשֶׁם.","Я был очень осторожен на скользкой дороге в дождь.","Глаголы","s_9c1a69d32055.mp3","Мужской"
213,"תִּינוֹק חָדָשׁ נוֹלָד הַיּוֹם בַּמִּשְׁפָּחָה.","Сегодня в семье родился новый ребёнок.","Глаголы","s_1a8aa8bf6b3e.mp3","Мужской"
214,"נוֹלַדְתִּי בְּיִשְׂרָאֵל לִפְנֵי עֶשְׂרִים שָׁנָה.","Я родился в Израиле двадцать лет назад.","Глаголы","s_328e6cc674bf.mp3","Мужской"
215,"אֲנִי נִזְכָּר בַּסִּפּוּר הַיָּפֶה עַכְשָׁיו.","Я сейчас вспоминаю красивую историю.","Глаголы","s_910ff739814a.mp3","Мужской"
216,"פִּתְאוֹם נִזְכַּרְתִּי בַּשֵּׁם שֶׁלּוֹ מִיָּד.","Вдруг я сразу вспомнил его имя.","Глаголы","s_9b3af73949c5.mp3","Мужской"
217,"קָשֶׁה לְהִפָּרֵד מֵחֲבֵרִים טוֹבִים תָּמִיד.","Всегда трудно расставаться с хорошими друзьями.","Глаголы","s_8d83dc8111c1.mp3","Мужской"
218,"אֶתְמוֹל נִפְרַדְנוּ בִּשְׂדֵה הַתְּעוּפָה בְּחִבּוּק.","Вчера мы тепло попрощались в аэропорту.","Глаголы","s_71656bf91db1.mp3","Мужской"
219,"הַשֶּׁמֶשׁ נֶעֱלֶמֶת מֵאֲחוֹרֵי הֶעָנָן לְאַט.","Солнце медленно исчезает за тучей.","Глаголы","s_36ff7b8e5621.mp3","Мужской"
220,"הַמַּפְתֵּחַ שֶׁלִּי נֶעֱלַם בַּבֹּקֶר פִּתְאוֹם.","Мой ключ утром внезапно пропал.","Глаголы","s_9b12a7687ba3.mp3","Мужской"
221,"הַתִּינוֹק נִרְדָּם בָּעֶרֶשׂ בְּשֶׁקֶט עַכְשָׁיו.","Ребёнок сейчас тихо засыпает в кроватке.","Глаголы","s_4bdf70e568c2.mp3","Мужской"
222,"נִרְדַּמְתִּי מַהֵר מוּל הַטֶּלֶוִיזְיָה אֶתְמוֹל.","Вчера я быстро уснул перед телевизором.","Глаголы","s_116843d97b18.mp3","Мужской"
223,"הַסֶּרֶט נִמְשָׁךְ שְׁעָתַיִם תְּמִימוֹת בַּקּוֹלְנוֹעַ.","Фильм длится ровно два часа в кинотеатре.","Глаголы","s_e134ddb9c2dc.mp3","Мужской"
224,"הַיְּשִׁיבָה נִמְשְׁכָה הַרְבֵּה זְמַן אֶתְמוֹל.","Вчера совещание длилось долго.","Глаголы","s_512228f4319c.mp3","Мужской"
225,"אַף אֶחָד לֹא נִכְשָׁל כָּאן.","Никто здесь не терпит неудачу.","Глаголы","s_645163266178.mp3","Мужской"
226,"נִכְשַׁלְתִּי בַּטֶּסְט הָרִאשׁוֹן שֶׁל נְהִיגָה.","Я завалил первый практический экзамен по вождению.","Глаголы","s_6914815ee912.mp3","Мужской"
227,"אֲנִי מַסְפִּיק לָרַכֶּבֶת בַּבֹּקֶר תָּמִיד.","Я всегда утром успеваю на поезд.","Глаголы","s_15c39e20757b.mp3","Мужской"
228,"הִסְפַּקְתִּי לְסַיֵּם אֶת הַדּוּ״חַ הַיּוֹם.","Я успел закончить отчёт сегодня.","Глаголы","s_3da9ca3a955d.mp3","Женский"
229,"הַמַּצָּב הַכַּלְכָּלִי מַשְׁפִּיעַ עַל הַכֹּל.","Экономическая ситуация влияет на всё.","Глаголы","s_eadd85c3ff90.mp3","Мужской"
230,"הַמּוֹרֶה הִשְׁפִּיעַ עָלַי מְאֹד לְטוֹבָה.","Учитель очень повлиял на меня в лучшую сторону.","Глаголы","s_87117f2801ac.mp3","Женский"
